id,tema,pregunta,a,b,c,d,correcta,ref
T02-0201,2,¿El Consorcio de la Zona Franca de Vigo tiene la consideración de:,Organismo público estatal,Entidad local,Empresa pública autonómica,Sociedad mercantil estatal,A,Estatuto Fundacional
T02-0202,2,¿Qué norma regula el régimen jurídico básico del Consorcio de la Zona Franca de Vigo?,Estatuto Fundacional,Ley de Puertos,Ley 40/2015,Ley General Presupuestaria,A,Estatuto Fundacional
T02-0203,2,¿Quién ostenta la Presidencia del Consorcio de la Zona Franca de Vigo?,El Delegado Especial del Estado,El Alcalde de Vigo,El Ministro de Industria,El Presidente de la Autoridad Portuaria,A,Estatuto Fundacional
T02-0204,2,El Pleno del Consorcio de la Zona Franca de Vigo está compuesto por:,"Presidente, Vicepresidente y Vocales",Presidente y Secretario,Vocales únicamente,Presidente y representantes sindicales,A,Reglamento Orgánico
T02-0205,2,¿Cuál es el órgano colegiado de gobierno superior del Consorcio?,El Pleno,El Comité Ejecutivo,La Dirección General,La Presidencia,A,Reglamento Orgánico
T02-0206,2,¿El Consorcio de la Zona Franca de Vigo tiene la consideración de:,Organismo público estatal,Entidad local,Empresa pública autonómica,Sociedad mercantil estatal,A,Estatuto Fundacional
T02-0207,2,¿Qué norma regula el régimen jurídico básico del Consorcio de la Zona Franca de Vigo?,Estatuto Fundacional,Ley de Puertos,Ley 40/2015,Ley General Presupuestaria,A,Estatuto Fundacional
T02-0208,2,¿Quién ostenta la Presidencia del Consorcio de la Zona Franca de Vigo?,El Delegado Especial del Estado,El Alcalde de Vigo,El Ministro de Industria,El Presidente de la Autoridad Portuaria,A,Estatuto Fundacional
T02-0209,2,El Pleno del Consorcio de la Zona Franca de Vigo está compuesto por:,"Presidente, Vicepresidente y Vocales",Presidente y Secretario,Vocales únicamente,Presidente y representantes sindicales,A,Reglamento Orgánico
T02-0210,2,¿Cuál es el órgano colegiado de gobierno superior del Consorcio?,El Pleno,El Comité Ejecutivo,La Dirección General,La Presidencia,A,Reglamento Orgánico
T02-0211,2,¿El Consorcio de la Zona Franca de Vigo tiene la consideración de:,Organismo público estatal,Entidad local,Empresa pública autonómica,Sociedad mercantil estatal,A,Estatuto Fundacional
T02-0212,2,¿Qué norma regula el régimen jurídico básico del Consorcio de la Zona Franca de Vigo?,Estatuto Fundacional,Ley de Puertos,Ley 40/2015,Ley General Presupuestaria,A,Estatuto Fundacional
T02-0213,2,¿Quién ostenta la Presidencia del Consorcio de la Zona Franca de Vigo?,El Delegado Especial del Estado,El Alcalde de Vigo,El Ministro de Industria,El Presidente de la Autoridad Portuaria,A,Estatuto Fundacional
T02-0214,2,El Pleno del Consorcio de la Zona Franca de Vigo está compuesto por:,"Presidente, Vicepresidente y Vocales",Presidente y Secretario,Vocales únicamente,Presidente y representantes sindicales,A,Reglamento Orgánico
T02-0215,2,¿Cuál es el órgano colegiado de gobierno superior del Consorcio?,El Pleno,El Comité Ejecutivo,La Dirección General,La Presidencia,A,Reglamento Orgánico
T02-0216,2,¿El Consorcio de la Zona Franca de Vigo tiene la consideración de:,Organismo público estatal,Entidad local,Empresa pública autonómica,Sociedad mercantil estatal,A,Estatuto Fundacional
T02-0217,2,¿Qué norma regula el régimen jurídico básico del Consorcio de la Zona Franca de Vigo?,Estatuto Fundacional,Ley de Puertos,Ley 40/2015,Ley General Presupuestaria,A,Estatuto Fundacional
T02-0218,2,¿Quién ostenta la Presidencia del Consorcio de la Zona Franca de Vigo?,El Delegado Especial del Estado,El Alcalde de Vigo,El Ministro de Industria,El Presidente de la Autoridad Portuaria,A,Estatuto Fundacional
T02-0219,2,El Pleno del Consorcio de la Zona Franca de Vigo está compuesto por:,"Presidente, Vicepresidente y Vocales",Presidente y Secretario,Vocales únicamente,Presidente y representantes sindicales,A,Reglamento Orgánico
T02-0220,2,¿Cuál es el órgano colegiado de gobierno superior del Consorcio?,El Pleno,El Comité Ejecutivo,La Dirección General,La Presidencia,A,Reglamento Orgánico
T02-0221,2,¿El Consorcio de la Zona Franca de Vigo tiene la consideración de:,Organismo público estatal,Entidad local,Empresa pública autonómica,Sociedad mercantil estatal,A,Estatuto Fundacional
T02-0222,2,¿Qué norma regula el régimen jurídico básico del Consorcio de la Zona Franca de Vigo?,Estatuto Fundacional,Ley de Puertos,Ley 40/2015,Ley General Presupuestaria,A,Estatuto Fundacional
T02-0223,2,¿Quién ostenta la Presidencia del Consorcio de la Zona Franca de Vigo?,El Delegado Especial del Estado,El Alcalde de Vigo,El Ministro de Industria,El Presidente de la Autoridad Portuaria,A,Estatuto Fundacional
T02-0224,2,El Pleno del Consorcio de la Zona Franca de Vigo está compuesto por:,"Presidente, Vicepresidente y Vocales",Presidente y Secretario,Vocales únicamente,Presidente y representantes sindicales,A,Reglamento Orgánico
T02-0225,2,¿Cuál es el órgano colegiado de gobierno superior del Consorcio?,El Pleno,El Comité Ejecutivo,La Dirección General,La Presidencia,A,Reglamento Orgánico
T02-0226,2,¿El Consorcio de la Zona Franca de Vigo tiene la consideración de:,Organismo público estatal,Entidad local,Empresa pública autonómica,Sociedad mercantil estatal,A,Estatuto Fundacional
T02-0227,2,¿Qué norma regula el régimen jurídico básico del Consorcio de la Zona Franca de Vigo?,Estatuto Fundacional,Ley de Puertos,Ley 40/2015,Ley General Presupuestaria,A,Estatuto Fundacional
T02-0228,2,¿Quién ostenta la Presidencia del Consorcio de la Zona Franca de Vigo?,El Delegado Especial del Estado,El Alcalde de Vigo,El Ministro de Industria,El Presidente de la Autoridad Portuaria,A,Estatuto Fundacional
T02-0229,2,El Pleno del Consorcio de la Zona Franca de Vigo está compuesto por:,"Presidente, Vicepresidente y Vocales",Presidente y Secretario,Vocales únicamente,Presidente y representantes sindicales,A,Reglamento Orgánico
T02-0230,2,¿Cuál es el órgano colegiado de gobierno superior del Consorcio?,El Pleno,El Comité Ejecutivo,La Dirección General,La Presidencia,A,Reglamento Orgánico
T02-0231,2,¿El Consorcio de la Zona Franca de Vigo tiene la consideración de:,Organismo público estatal,Entidad local,Empresa pública autonómica,Sociedad mercantil estatal,A,Estatuto Fundacional
T02-0232,2,¿Qué norma regula el régimen jurídico básico del Consorcio de la Zona Franca de Vigo?,Estatuto Fundacional,Ley de Puertos,Ley 40/2015,Ley General Presupuestaria,A,Estatuto Fundacional
T02-0233,2,¿Quién ostenta la Presidencia del Consorcio de la Zona Franca de Vigo?,El Delegado Especial del Estado,El Alcalde de Vigo,El Ministro de Industria,El Presidente de la Autoridad Portuaria,A,Estatuto Fundacional
T02-0234,2,El Pleno del Consorcio de la Zona Franca de Vigo está compuesto por:,"Presidente, Vicepresidente y Vocales",Presidente y Secretario,Vocales únicamente,Presidente y representantes sindicales,A,Reglamento Orgánico
